program_name,account_id,account_name,region,incorporated_country,Access,GRI,secondary_expansion,ticker,Symbol_1,Year,Market_Cap,Employee_Count,ebitda,Revenue,grossProfit,netIncome,reportedCurrency,cashAndCashEquivalents,shortTermInvestments,longTermInvestments,totalAssets,totalLiabilities,totalInvestments,totalDebt,totalEquity
Climate Change,44,3i Group,United Kingdom,United Kingdom,Public,"Banks, Diverse Financials, Insurance","FTSE 600,FTSE 725,FTSE 350",III LN,III.L,2013,3654277761,,622000000,739000000,739000000,517000000,GBP,643000000,0,3512000000,4388000000,1080000000,3512000000,849000000,3308000000
Supply Chain,45,7COMM INFORMATICA LTDA,South America,Brazil,Public,Software & Services,,,unknown,2013,,,,,,,,,,,,,,,
Climate Change,53,Abertis Infraestructuras,Southern Europe,Spain,Public,Ground Transportation - Highways & Railtracks,"FTSE All-World,Euro,Iberia,Spain",ABE SM,ABE.MC,2013,,,,,,,GBP,,,,,,,,
Supply Chain,55,Amway Corporation,USA,USA,Public,"Consumer Durables, Household and Personal Products",,,unknown,2013,,,,,,,,,,,,,,,
Supply Chain,58,ABM INDUSTRIES INC,USA,USA,Public,Trading Companies & Distributors and Commercial Services & Supplies,,ABM US,ABM,2013,1592463000,110000,153897000,4809281000,495852000,72900000,USD,32639000,0,35951000,2119236000,1201729000,35951000,314870000,917507000
Climate Change,64,Abbott Laboratories,USA,USA,Public,"Healthcare Providers & Services, and Healthcare Technology","FTSE All-World,Global 500,Bonds,S&P 500,Russell 1000",ABT US,ABT,2013,57569304161,69000,3452000000,21848000000,11808000000,2576000000,USD,3475000000,4623000000,119000000,42953000000,17686000000,4742000000,6561000000,25267000000
Climate Change,78,Aberdeen Asset Management,United Kingdom,United Kingdom,Public,"Banks, Diverse Financials, Insurance","FTSE 600,FTSE 100,FTSE 725,FTSE 350",ADN LN,ADN.L,2013,,,,,,,USD,,,,,,,,
Supply Chain,79,A T Kearney Ltd,United Kingdom,United Kingdom,Public,Professional Services,,,unknown,2013,,,,,,,,,,,,,,,
Climate Change,87,A2A,Southern Europe,Italy,Public,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)","Electric Utilities,Italy",A2A IM,A2A.MI,2013,2641642366,,1021000000,5389000000,1822000000,62000000,EUR,376000000,107000000,133000000,11010000000,7662000000,240000000,4397000000,2791000000
Climate Change,119,Resolute Forest Products Inc.,Canada,Canada,Public,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",Canada,RFP US,RFP,2013,,8400,325000000,4461000000,1015000000,-639000000,USD,322000000,0,0,5385000000,2546000000,0,599000000,2839000000
Climate Change,138,Barclays Africa,Africa,South Africa,Public,"Banks, Diverse Financials, Insurance","Emerging Markets,South Africa",BGA SJ,BGA.JO,2013,,,,,,,USD,,,,,,,,
Climate Change,143,ACC,India,India,Public,Construction Materials,"Emerging Markets,India,Asia ex-Japan",ACC IN,ACC.BO,2013,208151410761,,18036900000,109084100000,81120900000,10946700000,INR,5057200000,20389100000,-19522500000,121010600000,42849800000,866600000,350300000,78133800000
Supply Chain,149,Acbel Polytech Inc,China,Taiwan,Public,Technology Hardware & Equipment,,6282 TT,6282.TW,2013,15756221930,,1927847000,24594872000,3790021000,1248173000,TWD,3409490000,1319749000,-1157371000,17518967000,8466018000,162378000,434208000,9052949000
Climate Change,154,ACCIONA S.A.,Southern Europe,Spain,Public,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)","Electric Utilities,Iberia,Spain",ANA SM,ANA.MC,2013,2385294033,,2203169000,6607009000,5079170000,-1972371000,EUR,1247944000,329250000,-94356000,16783635000,13384552000,234894000,8355635000,3229938000
Climate Change,156,AccorHotels,France,France,Public,"Hotels, Restaurants & Leisure, and Tourism Services","France,Euro",AC FP,AC.PA,2013,7863720670,,846000000,5425000000,846000000,126000000,EUR,1913000000,0,374000000,7003000000,4251000000,374000000,2232000000,2752000000
Climate Change,169,ACERINOX,Southern Europe,Spain,Public,"Mining - Iron, Aluminum, Other Metals","Iberia,Spain",ACX SM,ACX.MC,2013,2306025000,,231482000,3966278000,1123445000,22068000,EUR,629602000,12162000,-3013000,3990970000,2437745000,13202000,1158927000,1437045000
Climate Change,173,ADP (Aeroports de Paris),France,France,Public,Air Transportation - Airport Services,"France,Euro",ADP FP,ADP.PA,2013,8164081282,,1066000000,2820000000,1844000000,304740000,EUR,1056000000,2000000,1172000000,9639000000,5837000000,1174000000,4154236000,3802053000
Climate Change,180,Admiral Group,United Kingdom,United Kingdom,Public,"Banks, Diverse Financials, Insurance","FTSE 600,FTSE 725,FTSE 350,FTSE 100",ADM LN,ADM.L,2013,3606629761,,100000,924400000,924400000,287000000,GBP,187900000,0,1608500000,3473800000,42600000,1608500000,100000,524100000
Climate Change,193,Actelion Ltd,DACH,Switzerland,Public,"Pharmaceuticals, Biotechnology & Life Sciences","DACH,Switzerland",,unknown,2013,,,,,,,,,,,,,,,
Climate Change,209,Adcock Ingram,Africa,South Africa,Public,"Pharmaceuticals, Biotechnology & Life Sciences",South Africa,AIP SJ,AIP.JO,2013,11955007124,,,,,,GBP,,,,,,,,
Climate Change,220,Adecco Group AG,DACH,Switzerland,Public,Professional Services,"DACH,Euro,Switzerland",ADEN VX,ADEN.SW,2013,12589855135,,920000000,19503000000,3560000000,557000000,EUR,963000000,0,0,9329000000,5772000000,0,2059000000,3553000000
Climate Change,240,ADVA Optical Networking SE,DACH,Germany,Public,Technology Hardware & Equipment,"DACH,Germany,DEU & AUT",ADV GR,ADV.DE,2013,179024535,,6167000,310702000,121410000,5507000,EUR,80610000,264000,-2144000,293078000,135258000,782000,39210000,157820000
Climate Change,246,Advantest Corporation,Japan,Japan,Public,Semiconductors & Semiconductors Equipment,Japan,6857 JP,6857.T,2013,240997893701,,-23689000000,111878000000,49333000000,-35540000000,JPY,68997000000,0,0,229856000000,113604000000,3741000000,55149000000,116252000000
