program_name,account_id,account_name,region,incorporated_country,Access,GRI,secondary_expansion,ticker,Symbol_1,Year,Market_Cap,Employee_Count,ebitda,Revenue,grossProfit,netIncome,reportedCurrency,cashAndCashEquivalents,shortTermInvestments,longTermInvestments,totalAssets,totalLiabilities,totalInvestments,totalDebt,totalEquity
Climate Change,44,3i Group,United Kingdom,United Kingdom,Public,"Banks, Diverse Financials, Insurance","Benchmark,FTSE 600,FTSE 725,FTSE 350,FTSE 100",III LN,III.L,2017,8857963722,,1450000000,1574000000,1574000000,1463000000,GBP,972000000,0,6045000000,7899000000,875000000,6045000000,575000000,7024000000
Climate Change,285,3M Company,USA,USA,Public,"Consumer Durables, Household and Personal Products","Benchmark,FTSE All-World,Global 500,Carbon Action,Plastics & Glass & Packaging,S&P 500,CCGR1800,Environmental,Water S&P 500,Water Global 500",MMM US,MMM,2017,117385235000,91536,9364000000,31657000000,15656000000,4858000000,USD,3053000000,1076000000,150000000,37987000000,26365000000,1226000000,13949000000,11681000000
Climate Change,59909,A Schulman Inc,USA,USA,Public,Chemicals,"Carbon Action,Environmental,Chemicals",SHLM US,SHLM,2017,,,180688000,2461124000,379763000,33026000,USD,53251000,0,0,1753780000,1546748000,0,917191000,207032000
Climate Change,1535,A.G. Barr Plc,United Kingdom,United Kingdom,Public,Food & Beverage Processing,"FTSE 600,FTSE 725",BAG LN,BAG.L,2017,765098530,,52800000,277700000,130700000,37200000,GBP,15000000,0,198700000,288200000,86300000,198700000,100000,201900000
Climate Change,276,A.P. Moller - Maersk,Nordics,Denmark,Public,Water Transportation - Water Transportation,"Benchmark,FTSE All-World,Nordic,Euro,Fossil Fuels,Transportation,Global 500,Carbon Action,CCGR1800,Environmental",MAERSKA DC,MAERSKA.CO,2017,,,,,,,GBP,,,,,,,,
Climate Change,87,A2A,Southern Europe,Italy,Public,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)","Carbon Action,CCGR1800,Environmental,Electric Utilities,Italy",A2A IM,A2A.MI,2017,4794361505,,1140000000,5590000000,1909000000,293000000,EUR,691000000,8000000,99000000,9949000000,6936000000,107000000,3938000000,2878000000
Climate Change,94,Aalberts Industries,Benelux,Netherlands,Public,Electrical Equipment and Machinery,Benelux,AALB NA,AALB.AS,2017,5360563152,,405000000,2694000000,1678400000,204500000,EUR,43500000,1100000,1867800000,2910400000,1397700000,1100000,612100000,1512700000
Climate Change,97,Aareal Bank AG,DACH,Germany,Public,"Banks, Diverse Financials, Insurance",DACH,ARL GR,ARL.DE,2017,2258412948,,349000000,932000000,932000000,207000000,EUR,2081000000,0,10797000000,41908000000,38984000000,10797000000,6686000000,2924000000
Climate Change,282,ABB,DACH,Switzerland,Public,Electrical Equipment and Machinery,"Benchmark,FTSE All-World,Nordic,Euro,Water Global 500,Global 500,Carbon Action,CCGR1800,DACH",ABBN VX,ABBN.SW,2017,55844560000,,4609000000,34312000000,10266000000,2213000000,USD,4526000000,1102000000,158000000,43262000000,27913000000,1339000000,7447000000,15349000000
Climate Change,64,Abbott Laboratories,USA,USA,Public,"Healthcare Providers & Services, and Healthcare Technology","Benchmark,FTSE All-World,Water Global 500,CCGR1800,Water S&P 500,Global 500,Carbon Action,S&P 500",ABT US,ABT,2017,99507392905,99000,4952000000,27390000000,15053000000,477000000,USD,9407000000,203000000,883000000,76250000000,45152000000,1086000000,27924000000,31098000000
Climate Change,45103,AbbVie Inc,USA,USA,Public,"Pharmaceuticals, Biotechnology & Life Sciences","Benchmark,FTSE All-World,Global 500,Carbon Action,S&P 500,CCGR1800,Water S&P 500,Water Global 500",ABBV US,ABBV,2017,154349160000,29000,11093000000,28216000000,21176000000,5309000000,USD,9303000000,486000000,2090000000,70786000000,65689000000,2576000000,37368000000,5097000000
Climate Change,291,Abercrombie & Fitch Co.,USA,USA,Public,Retailing,Self selected companies climate change,ANF US,ANF,2017,1194355890,16000,100832000,3492690000,2083842000,7094000,USD,675558000,0,-90186000,2325692000,1073221000,-90186000,300339000,1252471000
Climate Change,78,Aberdeen Asset Management,United Kingdom,United Kingdom,Public,"Banks, Diverse Financials, Insurance","Benchmark,FTSE 600,FTSE 725,FTSE 350,FTSE 250",ADN LN,ADN.L,2017,,,,,,,USD,,,,,,,,
Climate Change,53,Abertis Infraestructuras,Southern Europe,Spain,Public,Ground Transportation - Highways & Railtracks,"Benchmark,FTSE All-World,CCGR1800,Euro,Iberia,Spain",ABE SM,ABE.MC,2017,,,,,,,USD,,,,,,,,
Climate Change,135,ABN Amro Holding,Benelux,Netherlands,Public,"Banks, Diverse Financials, Insurance","Benchmark,FTSE All-World,Euro,Benelux",ABN NA,ABN.AS,2017,25272205115,,10273000000,8745000000,8745000000,2773000000,EUR,34948000000,0,55471000000,393171000000,371841000000,55471000000,86332000000,21310000000
Climate Change,134,Aboitiz Equity Ventures,South East Asia,Philippines,Public,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)","Benchmark,Emerging Markets,Asia ex-Japan,Asia ex-JICK",AEV PM,AEV,2017,,,,,,,EUR,,,,,,,,
Climate Change,31422,Acacia Mining,United Kingdom,United Kingdom,Public,Mining - Other (Precious Metals and Gems),"FTSE 600,FTSE 725,FTSE 350,FTSE 250",ACA LN,ACA.L,2017,,,,,,,EUR,,,,,,,,
Climate Change,143,ACC,India,India,Public,Construction Materials,"Benchmark,Emerging Markets,CCGR1800,India,Asia ex-Japan",ACC IN,ACC.BO,2017,330164123080,,20152200000,129309500000,99790800000,9244100000,INR,25596600000,1215500000,-266300000,148457400000,54870100000,949200000,0,93558500000
Climate Change,21318,Accenture,Ireland,Ireland,Public,Software & Services,"Benchmark,FTSE All-World,Global 500,S&P 500,CCGR1800",ACN US,ACN,2017,94587370971,425000,5433618000,36765478000,11030492000,3445149000,USD,4126860000,3011000,211610000,22689890000,12979690000,214621000,25070000,8949477000
Climate Change,154,ACCIONA S.A.,Southern Europe,Spain,Public,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)","Carbon Action,Iberia,Spain",ANA SM,ANA.MC,2017,3892830217,,1213633000,7253974000,5307472000,220131000,EUR,1272781000,34492000,1382671000,17147358000,13184090000,1417163000,6760036000,3760227000
Climate Change,156,AccorHotels,France,France,Public,"Hotels, Restaurants & Leisure, and Tourism Services","Benchmark,Carbon Action,CCGR1800,France,Euro",AC FP,AC.PA,2017,12779494263,,623000000,2774000000,623000000,342000000,EUR,1063000000,12000000,740000000,12080000000,6297000000,752000000,3005000000,5783000000
Climate Change,313,ACEA SpA,Southern Europe,Italy,Public,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)","Carbon Action,Environmental,Electric Utilities,Italy",ACE IM,ACE.MI,2017,3273202409,,695330000,2682618000,913997000,180682000,EUR,680641000,237671000,84171000,7339055000,5527849000,321842000,3289593000,1717626000
Climate Change,169,ACERINOX,Southern Europe,Spain,Public,"Mining - Iron, Aluminum, Other Metals","Carbon Action,Environmental,Iberia,Spain,Mining & Metals",ACX SM,ACX.MC,2017,3290723920,,535693000,4626855000,1499626000,234144000,EUR,620536000,23040000,-8277000,4404012000,2433716000,19254000,1229758000,1897135000
Climate Change,35762,Actiontec Electronics,USA,USA,Public,Technology Hardware & Equipment,Self selected companies climate change,7580836Z US,7580836Z,2017,,,,,,,EUR,,,,,,,,
Climate Change,36842,Addtech AB,Nordics,Sweden,Public,Trading Companies & Distributors and Commercial Services & Supplies,Nordic,ADDTB SS,ADDTB.ST,2017,,,,,,,EUR,,,,,,,,
Climate Change,220,Adecco Group AG,DACH,Switzerland,Public,Professional Services,"Benchmark,DACH,Euro",ADEN VX,ADEN.SW,2017,12436704151,,1229000000,23660000000,4346000000,788000000,EUR,958000000,4000000,169000000,9890000000,6308000000,173000000,1956000000,3574000000
Climate Change,21380,adidas AG,DACH,Germany,Public,"Textiles, Apparel, Footwear and Luxury Goods","Benchmark,FTSE All-World,Global 500,Carbon Action,CCGR1800,DACH,Euro,Water Global 500",ADS GR,ADS.DE,2017,32658599999,,2563000000,21218000000,10704000000,1097000000,EUR,1598000000,244000000,129000000,14522000000,8087000000,373000000,1120000000,6450000000
Climate Change,333,"Adobe Systems, Inc.",USA,USA,Public,Software & Services,"Benchmark,FTSE All-World,Global 500,S&P 500,CCGR1800",ADBE US,ADBE,2017,86228769640,17973,2538040000,7301505000,6291014000,1693954000,USD,2306072000,3513702000,-279941000,14535556000,6075687000,3513702000,1881421000,8459869000
Climate Change,173,ADP (Aeroports de Paris),France,France,Public,Air Transportation - Airport Services,"Benchmark,France,Euro",ADP FP,ADP.PA,2017,15683785329,,1501000000,3617000000,2490000000,571000000,EUR,1912000000,193000000,765000000,14276000000,8842000000,958000000,5898000000,5434000000
Climate Change,240,ADVA Optical Networking SE,DACH,Germany,Public,Technology Hardware & Equipment,DACH,ADV GR,ADV.DE,2017,299238000,,2197000,514471000,166220000,-4228000,EUR,58099000,1150000,-65000,464019000,236998000,3715000,96561000,227021000
Climate Change,334,"Advanced Micro Devices, Inc",USA,USA,Public,Semiconductors & Semiconductors Equipment,Carbon Action,AMD US,AMD,2017,9920260035,8900,339000000,5329000000,1823000000,43000000,USD,1185000000,0,58000000,3540000000,2929000000,58000000,1395000000,611000000
Climate Change,336,Advanced Semiconductor Engineering,China,Taiwan,Public,Semiconductors & Semiconductors Equipment,"Benchmark,Emerging Markets,Asia ex-Japan,Asia ex-JICK,Carbon Action,CCGR1800",2311 TT,2311.TW,2017,,,,,,,USD,,,,,,,,
Climate Change,21330,"Advantech Co, Ltd.",China,Taiwan,Public,Technology Hardware & Equipment,"Benchmark,Emerging Markets",2395 TT,2395.TW,2017,133606201694,,8253113000,44374751000,17380958000,6156516000,TWD,5204219000,3367135000,-508028000,40703769000,12943329000,2859107000,122117000,27760440000
Climate Change,246,Advantest Corporation,Japan,Japan,Public,Semiconductors & Semiconductors Equipment,"Benchmark,Water Japan,Japan",6857 JP,6857.T,2017,92883270727,,30486000000,207223000000,106588000000,18103000000,JPY,103973000000,0,2414000000,254559000000,129949000000,2414000000,29872000000,124610000000
Climate Change,248,AECI Ltd Ord,Africa,South Africa,Public,Chemicals,"Carbon Action,Environmental,South Africa,Chemicals,Water South Africa",AFE SJ,AFE.JO,2017,10566297400,,2211000000,18482000000,6219000000,953000000,ZAR,1206000000,155000000,409000000,15971000000,6615000000,564000000,1760000000,9240000000
Climate Change,252,Aegon,Benelux,Netherlands,Public,"Banks, Diverse Financials, Insurance","Benchmark,Euro,Benelux",AGN NA,AGN.AS,2017,14002240000,,3750000000,53080000000,49791000000,2361000000,EUR,10769000000,90510000000,149855000000,396291000000,371905000000,336223000000,14532000000,24386000000
Climate Change,57666,AENA SA,Southern Europe,Spain,Public,Air Transportation - Airport Services,"Benchmark,FTSE All-World,Iberia,Spain,CCGR1800,Euro",AENA SM,AENA.MC,2017,25378090504,,2543607000,3960582000,2414420000,1232005000,EUR,854977000,0,0,15307432000,9619568000,135808000,7891808000,5682438000
Climate Change,258,"Aeon Co., Ltd.",Japan,Japan,Public,Food & Staples Retailing,"Benchmark,FTSE All-World,Carbon Action,Agriculture,Japan,CCGR1800,Environmental,Water Japan",8267 JP,8267.T,2017,1596928060000,,483614000000,8390011000000,3033329000000,24522000000,JPY,918053000000,208866000000,43520000000,9452756000000,7536022000000,252386000000,2432040000000,1916734000000
Climate Change,253,"Aeon Delight Co., Ltd.",Japan,Japan,Public,Trading Companies & Distributors and Commercial Services & Supplies,Self selected companies climate change,9787 JP,9787.T,2017,221887600000,,20255000000,295839000000,38904000000,10316000000,JPY,39536000000,0,5334000000,146828000000,46269000000,5334000000,225000000,100559000000
