program_name,account_id,account_name,region,incorporated_country,Access,GRI,secondary_expansion,ticker,Symbol_1,Year,Market_Cap,Employee_Count,ebitda,Revenue,grossProfit,netIncome,reportedCurrency,cashAndCashEquivalents,shortTermInvestments,longTermInvestments,totalAssets,totalLiabilities,totalInvestments,totalDebt,totalEquity
Climate Change,44,3i Group,United Kingdom,United Kingdom,Public,"Banks, Diverse Financials, Insurance","Benchmark,FTSE 600,FTSE 725,FTSE 350,FTSE 100",III LN,III.L,2016,6798114730,,1508000000,1624000000,1624000000,1527000000,GBP,931000000,0,5133000000,6713000000,877000000,5133000000,575000000,5836000000
Supply Chain,45,7COMM INFORMATICA LTDA,South America,Brazil,Public,Software & Services,,,unknown,2016,,,,,,,,,,,,,,,
Climate Change,53,Abertis Infraestructuras,Southern Europe,Spain,Public,Ground Transportation - Highways & Railtracks,"Benchmark,FTSE All-World,CCGR1800,Euro,Iberia,Spain",ABE SM,ABE.MC,2016,,,,,,,GBP,,,,,,,,
Supply Chain,58,ABM INDUSTRIES INC,USA,USA,Public,Trading Companies & Distributors and Commercial Services & Supplies,,ABM US,ABM,2016,2287040000,110000,138800000,5144700000,521300000,57200000,USD,56000000,0,17400000,2281200000,1307200000,17400000,268300000,974000000
Supply Chain,63,AR Packaging Group,DACH,Germany,Public,Tobacco,,0849302D SS,0849302D.ST,2016,,,,,,,USD,,,,,,,,
Climate Change,64,Abbott Laboratories,USA,USA,Public,"Healthcare Providers & Services, and Healthcare Technology","Benchmark,FTSE All-World,Global 500,Carbon Action,S&P 500,CCGR1000",ABT US,ABT,2016,56572906164,75000,2790000000,20853000000,11829000000,1400000000,USD,18620000000,155000000,2947000000,52666000000,31949000000,3102000000,22006000000,20717000000
Climate Change,78,Aberdeen Asset Management,United Kingdom,United Kingdom,Public,"Banks, Diverse Financials, Insurance","Benchmark,FTSE 600,FTSE 725,FTSE 250,FTSE 350",ADN LN,ADN.L,2016,,,,,,,USD,,,,,,,,
Climate Change,87,A2A,Southern Europe,Italy,Public,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)","Carbon Action,Electric Utilities,Italy",A2A IM,A2A.MI,2016,3906444686,,1112000000,4813000000,1845000000,224000000,EUR,402000000,218000000,-82000000,10379000000,7108000000,136000000,3795000000,2717000000
Climate Change,97,Aareal Bank AG,DACH,Germany,Public,"Banks, Diverse Financials, Insurance",DACH,ARL GR,ARL.DE,2016,2140793449,,385000000,1045000000,1045000000,215000000,EUR,1786000000,0,12713000000,47708000000,44579000000,12713000000,8087000000,3129000000
Climate Change,119,Resolute Forest Products Inc.,Canada,Canada,Public,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber","Carbon Action,CCGR1000,Forest & Pulp & Paper",RFP US,RFP,2016,,8300,249000000,3545000000,829000000,-81000000,USD,35000000,0,0,4277000000,2566000000,0,775000000,1711000000
Supply Chain,123,ACI WORLDWIDE  LTD,United Kingdom,United Kingdom,Public,Software & Services,,ACIW US,ACIW,2016,2129285399,4111,177756000,1005701000,560787000,129535000,USD,75753000,0,0,1902295000,1147378000,0,743918000,754917000
Climate Change,138,Barclays Africa,Africa,South Africa,Public,"Banks, Diverse Financials, Insurance","Benchmark,Emerging Markets,South Africa,CCGR1800",BGA SJ,BGA.JO,2016,,,,,,,USD,,,,,,,,
Climate Change,143,ACC,India,India,Public,Construction Materials,"Benchmark,Emerging Markets,India,CCGR1800",ACC IN,ACC.BO,2016,249404355525,,14876400000,109456200000,82957100000,6045100000,INR,2784000000,15988700000,-15107400000,133865300000,47422300000,881300000,0,86415200000
Supply Chain,149,Acbel Polytech Inc,China,Taiwan,Public,Technology Hardware & Equipment,,6282 TT,6282.TW,2016,12158763815,,1175095000,19749532000,3177096000,520858000,TWD,2956456000,328142000,205688000,15678897000,7163543000,533830000,0,8515354000
Climate Change,154,ACCIONA S.A.,Southern Europe,Spain,Public,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)","Carbon Action,Iberia,Spain",ANA SM,ANA.MC,2016,3987803844,,1507399000,5977419000,4390757000,351981000,EUR,1428319000,165551000,1012764000,17407764000,13310418000,1178315000,6788212000,3831476000
Climate Change,156,AccorHotels,France,France,Public,"Hotels, Restaurants & Leisure, and Tourism Services","Benchmark,Carbon Action,France,Euro",AC FP,AC.PA,2016,10019785330,,507000000,1646000000,507000000,124000000,EUR,1169000000,15000000,702000000,11864000000,5939000000,717000000,2909000000,5925000000
Climate Change,169,ACERINOX,Southern Europe,Spain,Public,"Mining - Iron, Aluminum, Other Metals","Carbon Action,Iberia,Spain,Mining & Metals",ACX SM,ACX.MC,2016,3481210456,,308900000,3968143000,1269521000,80320000,EUR,598470000,27123000,-14505000,4455048000,2286369000,17935000,1218419000,2078690000
