Account number,Organization,Country,Region,Public,Samples,Primary activity,Primary sector,Primary industry,Primary questionnaire sector,Tickers,Authority types,Symbol_1,Year,Market_Cap,Employee_Count,ebitda,Revenue,grossProfit,netIncome,reportedCurrency,cashAndCashEquivalents,shortTermInvestments,longTermInvestments,totalAssets,totalLiabilities,totalInvestments,totalDebt,totalEquity
313,ACEA SpA,Italy,,public," Continuity Climate Change, Environmental, Italy",Electricity networks,Energy utility networks,Infrastructure,Electric utilities, ACE IM, Investor,ACE.MI,2021,3963917049,,1207479000,3838970000,2005880000,313309000,EUR,680820000,2300000,315468000,10628886000,8112466000,317768000,5207582000,2516420000
362,AFLAC Incorporated,United States of America,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, FTSE All-World, MSCI ACWI, S&P 500",Insurance,Financial services,Services,Financial services, AFL US, Investor,AFL,2021,37939077670,6492,5322000000,22106000000,22106000000,4231000000,USD,5051000000,98696000000,122299000000,157542000000,7956000000,142978000000,7956000000,33253000000
365,Affiliated Managers Group,United States of America,,public," Benchmark, Continuity Climate Change",Asset managers,Financial services,Services,Financial services, AMG US, Investor,AMG,2021,7715519000,4050,1187200000,2412400000,1365300000,890100000,USD,908500000,78500000,2509600000,8876400000,4491900000,2588100000,2490400000,4384500000
618,Altri SGPS SA,Portugal,,public," Continuity Climate Change, Portugal",Pulp & paper mills,Wood & paper materials,Materials,Paper & forestry, ALTR PL, Investor,ALTR.LS,2021,1150788679,,225010790,785217325,463754411,134673293,EUR,238937382,-105771439,106847137,2290063385,1566523502,1075698,656772260,723539883
622,Alstom,France,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, Euro, France, MSCI ACWI",Railroad rolling stock,Transportation equipment,Manufacturing,Transport OEMS, ALO FP," Investor, Supply Chain",ALO.PA,2021,11657290310,,772000000,15471000000,1725000000,-576000000,EUR,810000000,54000000,1258000000,30515000000,21491000000,1258000000,3685000000,9024000000
660,American Airlines Group Inc,United States of America,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, S&P 500",Passenger airlines,Air transport,Transportation services,Transport services, AAL US," Investor, Supply Chain",AAL,2021,11652619033,0,-748000000,29882000000,27000000,-1993000000,USD,273000000,12158000000,239000000,66442000000,73782000000,12158000000,46152000000,-7340000000
79,A T Kearney Ltd,United Kingdom of Great Britain and Northern Ireland,,public,,Other professional services,Specialized professional services,Services,General,, Supply Chain,unknown,2021,,,,,,,,,,,,,,,
119,Resolute Forest Products Inc.,Canada,,public," Climate High Impact Sample, Continuity Climate Change, Environmental",Pulp & paper mills,Wood & paper materials,Materials,Paper & forestry, RFP US, Investor,RFP,2021,,6900,920000000,3664000000,1406000000,307000000,USD,112000000,0,0,3538000000,2021000000,0,361000000,1517000000
248,AECI Ltd Ord,South Africa,,public," Continuity Climate Change, Environmental, South Africa",Specialty chemicals,Chemicals,Materials,Chemicals, AFE SJ," Investor, Supply Chain",AFE.JO,2021,11816936182,,3149000000,26053000000,8155000000,1190000000,ZAR,1953000000,328000000,113000000,24178000000,12589000000,441000000,4824000000,11589000000
316,Acer Inc.,"Taiwan, Greater China",,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, MSCI ACWI",Computer hardware,Electrical & electronic equipment,Manufacturing,General, 2353 TT," Investor, Supply Chain",2353.TW,2021,90980740980,,17287552000,319005456000,37191056000,10897427000,TWD,44619541000,3222868000,6716119000,214788311000,148765368000,9938987000,13224793000,66022943000
391,Agilent Technologies Inc.,United States of America,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Medical equipment,Medical equipment & supplies,"Biotech, health care & pharma",General, A US," Investor, Supply Chain",A,2021,48054650000,17000,1762000000,6319000000,3407000000,1210000000,USD,1484000000,91000000,185000000,10705000000,5316000000,276000000,2729000000,5389000000
586,Alliant Energy Corporation,United States of America,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, MSCI ACWI, S&P 500",CCGT generation,Thermal power generation,Power generation,Electric utilities, LNT US," Investor, Supply Chain",LNT,2021,15404382000,0,1509000000,3669000000,1556000000,674000000,USD,39000000,0,517000000,18553000000,12563000000,517000000,7883000000,5990000000
58,ABM INDUSTRIES INC,United States of America,CDP NA,public,,Commercial services,Commercial & consumer services,Services,General, ABM US, Supply Chain,ABM,2021,2773715000,124000,253400000,6228600000,925500000,126300000,USD,62800000,0,11800000,4436200000,2827000000,11800000,1032600000,1609200000
135,ABN AMRO Bank N.V.,Netherlands,,public," Benchmark, Benelux, Continuity Climate Change, Fixed Income, MSCI ACWI",Banks,Financial services,Services,Financial services, ABN NA, Investor,ABN.AS,2021,12144800012,,2029000000,7343000000,7343000000,1231000000,EUR,68253000000,0,51664000000,399113000000,67722000000,51664000000,67722000000,21999000000
156,Accor,France,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, France, MSCI ACWI",Hotels & lodging,"Bars, hotels & restaurants",Hospitality,Real estate, AC FP," Investor, Supply Chain",AC.PA,2021,7299589732,,22000000,2204000000,601000000,50000000,EUR,1666000000,8000000,1469000000,10769000000,7172000000,1477000000,4554000000,3597000000
304,The AES Corporation,United States of America,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, MSCI ACWI, S&P 500",Electricity networks,Energy utility networks,Infrastructure,Electric utilities, AES US," Investor, Supply Chain",AES,2021,17277300000,0,3620000000,12617000000,2548000000,-434000000,USD,1374000000,730000000,952000000,38363000000,33859000000,1682000000,23498000000,4504000000
351,AGL Energy,Australia,,public," ASX 100, Australia, Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, MSCI ACWI",Coal generation,Thermal power generation,Power generation,Electric utilities, AGL AU, Investor,AGL.AX,2021,3936296658,,-129000000,10942000000,1493000000,-2058000000,AUD,88000000,282000000,1148000000,15450000000,9949000000,1430000000,3185000000,5506000000
550,ANA Holdings Inc.,Japan,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Japan, MSCI ACWI",Passenger airlines,Air transport,Transportation services,Transport services, 9202 JP," Investor, Supply Chain",9202.T,2021,1130927721000,,4424000000,1020324000000,-29090000000,-143628000000,JPY,452679000000,498310000000,198966000000,3218433000000,2415018000000,140746000000,1750108000000,803415000000
118,Acron,Russian Federation,,public," Climate High Impact Sample, Russia",Nitrogenous fertilizers,Chemicals,Materials,Chemicals, AKRN RM, Investor,AKRN,2021,,,,,,,JPY,,,,,,,,
582,The Allstate Corporation,United States of America,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Insurance,Financial services,Services,Financial services, ALL US," Investor, Supply Chain",ALL,2021,32718465000,54300,1092000000,50588000000,43328000000,5159000000,USD,763000000,4009000000,61224000000,99440000000,8809000000,64701000000,7976000000,25127000000
631,ALPLA,Austria,,public,,Plastic products,Plastic product manufacturing,Manufacturing,General, 1154Z AV, Supply Chain,1154Z,2021,,,,,,,USD,,,,,,,,
727,Precinct Properties New Zealand,New Zealand,,public," Continuity Climate Change, New Zealand",REIT,Financial services,Services,Real estate, PCT NZ, Investor,PCT.NZ,2021,2648383474,,189700000,168100000,157900000,187700000,NZD,8300000,-3306600000,3341100000,3456400000,1235800000,34500000,1136400000,2220600000
846,AptarGroup,United States of America,,public, Continuity Climate Change,Plastic products,Plastic product manufacturing,Manufacturing,General, ATR US," Investor, Supply Chain",ATR,2021,8027706640,13000,605323000,3227221000,1156683000,244097000,USD,122925000,740000,59485000,4141364000,2156764000,60225000,1196651000,1984600000
943,ARKEMA,France,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, France, MSCI ACWI",Other base chemicals,Chemicals,Materials,Chemicals, AKE FP," Investor, Supply Chain",AKE.PA,2021,8779240370,,1867000000,9519000000,2143000000,1309000000,EUR,2285000000,109000000,-28000000,12301000000,5951000000,81000000,2762000000,6350000000
1065,Assa Abloy,Sweden,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, Euro, FTSE All-World, MSCI ACWI, Nordic",Electrical equipment,Electrical & electronic equipment,Manufacturing,Capital goods, ASSAB SS," Investor, Supply Chain",ASSAB.ST,2021,,,,,,,EUR,,,,,,,,
661,Ameren Corporation,United States of America,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, FTSE All-World, MSCI ACWI, S&P 500",Electricity networks,Energy utility networks,Infrastructure,Electric utilities, AEE US, Investor,AEE,2021,22955679000,0,2812000000,6394000000,2991000000,990000000,USD,8000000,8000000,1159000000,35735000000,25906000000,1159000000,13612000000,9829000000
992,"Asahi Group Holdings, Ltd.",Japan,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, Japan, MSCI ACWI",Alcoholic beverages,Food & beverage processing,"Food, beverage & agriculture","Food, beverage & tobacco", 2502 JP, Investor,2502.T,2021,2267164598326,,353157000000,2236076000000,852881000000,153500000000,JPY,52743000000,7119000000,125816000000,4547748000000,2788600000000,132935000000,1596203000000,1759147000000
1113,AT&T Inc.,United States of America,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Telecommunications services,"Media, telecommunications & data center services",Services,General, T US," Investor, Supply Chain",T,2021,133406880000,203000,61597000000,168864000000,89057000000,20081000000,USD,21169000000,0,7274000000,551622000000,367767000000,7274000000,199956000000,183855000000
1344,BAE Systems,United Kingdom of Great Britain and Northern Ireland,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, Euro, FTSE All-World, MSCI ACWI, UK",Munitions,Light manufacturing,Manufacturing,General, BA/ LN," Investor, Supply Chain",BA.L,2021,17428716810,,2567000000,19521000000,5192000000,1758000000,GBP,2917000000,194000000,1483000000,27135000000,18661000000,1677000000,6356000000,7668000000
97,Aareal Bank AG,Germany,,public," Continuity Climate Change, DACH",Banks,Financial services,Services,Financial services, ARL GR, Investor,ARL.DE,2021,1617750000,,202000000,877000000,877000000,67000000,EUR,6942000000,0,9101000000,48728000000,45667000000,9101000000,31287000000,3061000000
134,Aboitiz Equity Ventures,Philippines,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Emerging Markets, MSCI ACWI",Electricity networks,Energy utility networks,Infrastructure,Electric utilities, AEV PM, Investor,AEV,2021,,,,,,,EUR,,,,,,,,
234,"Advanced Call Center Technologies, LLC",United States of America,,public,,Other professional services,Specialized professional services,Services,General, 4556398Z US, Supply Chain,4556398Z,2021,,,,,,,EUR,,,,,,,,
333,Adobe,United States of America,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Software,IT & software development,Services,General, ADBE US," Investor, Supply Chain",ADBE,2021,268219379999,25988,6590000000,15785000000,13920000000,4822000000,USD,3844000000,1954000000,0,27241000000,12444000000,1954000000,4673000000,14797000000
336,"ASE Technology Holding Co., Ltd.","Taiwan, Greater China",,public," Asia ex-JICK, Benchmark, Climate High Impact Sample, Continuity Climate Change, Emerging Markets, MSCI ACWI",Industrial services,Industrial support services,Services,General, 2311 TT," Investor, Supply Chain",2311.TW,2021,,,,,,,USD,,,,,,,,
820,Antofagasta,United Kingdom of Great Britain and Northern Ireland,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, Euro, Latin America, MSCI ACWI, UK",Copper,"Metal smelting, refining & forming",Materials,Metals & mining, ANTO LN, Investor,ANTO.L,2021,13195691862,,4504700000,7470100000,4349900000,1290200000,USD,743400000,2969700000,914500000,17278400000,6249400000,3884200000,3169900000,11029000000
44,3i Group,United Kingdom of Great Britain and Northern Ireland,,public," Benchmark, Continuity Climate Change, Euro, MSCI ACWI, UK",Asset managers,Financial services,Services,Financial services, III LN, Investor,III.L,2021,13999166377,,4026000000,4160000000,4107000000,4013000000,GBP,212000000,0,13450000000,13948000000,1194000000,13450000000,989000000,12754000000
149,Acbel Polytech Inc,"Taiwan, Greater China",Partner - BCSD Taiwan,public,,Electronic components,Electrical & electronic equipment,Manufacturing,General, 6282 TT, Supply Chain,6282.TW,2021,18817966237,,1711746000,21906395000,3631976000,602024000,TWD,4933450000,968515000,188196000,30678514000,20177062000,1156711000,9709523000,10501452000
528,Alfa Laval Corporate AB,Sweden,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, MSCI ACWI, Nordic",Other renewable energy equipment,Renewable energy equipment,Manufacturing,Capital goods, ALFA SS," Investor, Supply Chain",ALFA.ST,2021,151059305220,,8352000000,40911000000,14510000000,4759000000,SEK,3356000000,285000000,1111000000,64361000000,32017000000,1396000000,10802000000,32344000000
628,"Altria Group, Inc.",United States of America,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Tobacco products,Tobacco,"Food, beverage & agriculture","Food, beverage & tobacco", MO US, Investor,MO,2021,86107659334,6000,12429000000,21111000000,13992000000,2475000000,USD,4544000000,0,13481000000,39523000000,41129000000,13481000000,28044000000,-1606000000
724,AMP,Australia,,public," ASX 100, Australia, Benchmark, Continuity Climate Change, MSCI ACWI",Asset managers,Financial services,Services,Financial services, AMP AU, Investor,AMP.AX,2021,3296619260,,-228000000,1647000000,2253000000,-252000000,AUD,2916000000,3350000000,23785000000,32204000000,28221000000,23785000000,26252000000,3983000000
1053,PT Astra International Tbk,Indonesia,,public," Asia ex-JICK, Benchmark, Climate High Impact Sample, Emerging Markets, Environmental, MSCI ACWI",Specialist retail,Discretionary retail,Retail,General, ASII IJ, Investor,ASII.JK,2021,230756252898000,,35791000000000,233485000000000,51033000000000,20196000000000,IDR,63947000000000,651000000000,53549000000000,367311000000000,151696000000000,54200000000000,72486000000000,215615000000000
256,Aeroflot,Russian Federation,,public," Climate High Impact Sample, Continuity Climate Change",Passenger airlines,Air transport,Transportation services,Transport services, AFLT RM, Investor,AFLT,2021,,,,,,,IDR,,,,,,,,
350,Agnico-Eagle Mines Limited,Canada,,public," Benchmark, Canada, Climate High Impact Sample, Continuity Climate Change, Environmental, FTSE All-World, MSCI ACWI",Precious metals & minerals mining,Metallic mineral mining,Materials,Metals & mining, AEM CN, Investor,AEM.TO,2021,16432456730,,1750355000,3823878000,1329061000,561945000,USD,185786000,5288000,343509000,10186776000,4205941000,348797000,1696656000,5980835000
383,Aggreko,United Kingdom of Great Britain and Northern Ireland,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, UK",Vehicles & machinery rental & leasing,"Trading, wholesale, distribution, rental & leasing",Retail,General, AGK LN," Investor, Supply Chain",AGK.L,2021,,,,,,,USD,,,,,,,,
600,AIB Group Plc,Ireland,,public," Benchmark, Continuity Climate Change, Fixed Income, Ireland",Banks,Financial services,Services,Financial services, AIBG ID, Investor,AIBG.L,2021,4856061600,,958000000,2371000000,2371000000,647000000,EUR,43155000000,0,17951000000,127875000000,114215000000,17951000000,7908000000,13660000000
904,ArcelorMittal,Luxembourg,,public," Benchmark, Benelux, Climate High Impact Sample, Continuity Climate Change, Environmental, Euro, Fixed Income, France, MSCI ACWI, Spain",Iron & steel,"Metal smelting, refining & forming",Materials,Steel, MT NA," Investor, Supply Chain",MT.AS,2021,28994500000,,20608000000,76571000000,19234000000,20485000000,USD,4371000000,0,10319000000,90512000000,39168000000,10319000000,8401000000,51344000000
1048,ASML Holding,Netherlands,,public," Benchmark, Benelux, Climate High Impact Sample, Continuity Climate Change, Environmental, Euro, FTSE All-World, Global 500, MSCI ACWI",Industrial machinery,Powered machinery,Manufacturing,Capital goods, ASML NA," Investor, Supply Chain",ASML.AS,2021,285718810000,,7007400000,18611000000,9809000000,5883200000,EUR,6951800000,638500000,892500000,30231000000,20090400000,1531000000,4075000000,10140600000
123,ACI WORLDWIDE  LTD,United Kingdom of Great Britain and Northern Ireland,CDP London,public,,Software,IT & software development,Services,General, ACIW US, Supply Chain,ACIW,2021,4000458900,3610,364033000,1370598000,731727000,127791000,USD,122059000,0,276164000,3158741000,1913964000,276164000,1109088000,1244777000
143,ACC,India,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, India",Cement,Cement & concrete,Materials,Cement, ACC IN, Investor,ACC.BO,2021,416399476976,,31934700000,158144000000,118775300000,18629900000,INR,73665900000,3196700000,5785700000,210388400000,67266600000,8982400000,1255800000,143088300000
258,"Aeon Co., Ltd.",Japan,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, FTSE All-World, Japan, MSCI ACWI","Supermarkets, food & drugstores",Convenience retail,Retail,General, 8267 JP, Investor,8267.T,2021,2293312077000,,522192000000,8715955000000,3114261000000,6504000000,JPY,1172263000000,612647000000,833695000000,11633083000000,9820662000000,261543000000,3315061000000,1812421000000
394,Ajinomoto Co.Inc.,Japan,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Japan, MSCI ACWI",Other food processing,Food & beverage processing,"Food, beverage & agriculture","Food, beverage & tobacco", 2802 JP," Investor, Supply Chain",2802.T,2021,1890491534061,,197674000000,1149370000000,425898000000,75725000000,JPY,151454000000,17810000000,178161000000,1457060000000,717316000000,167112000000,313908000000,739743000000
557,Rumo,Brazil,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Emerging Markets",Logistics - transport,Intermodal transport & logistics,Transportation services,Transport services, RUMO3 BZ," Investor, Supply Chain",RUMO3.SA,2021,,,,,,,JPY,,,,,,,,
769,Anglian Water,United Kingdom of Great Britain and Northern Ireland,,public," Fixed Income, Self selected companies climate change",Water supply networks,Non-energy utilities,Infrastructure,General, 2384Z LN, Investor,2384Z.L,2021,,,,,,,JPY,,,,,,,,
240,ADVA Optical Networking SE,Germany,,public, Self selected companies climate change,Communications equipment,Electrical & electronic equipment,Manufacturing,General, ADV GR," Investor, Supply Chain",ADV.DE,2021,703923886,,47749000,603317000,218558000,59218000,EUR,106634000,3215000,1389000,601524000,261612000,4604000,72821000,339912000
524,Algonquin Power & Utilities Corporation,Canada,,public," Benchmark, Canada, Climate High Impact Sample, Continuity Climate Change, Environmental, MSCI ACWI",Electricity networks,Energy utility networks,Infrastructure,Electric utilities, AQN CN," Investor, Supply Chain",AQN.TO,2021,12309274104,,868732000,2285479000,1566379000,185657000,USD,125157000,0,2312814000,16785836000,9084231000,2312814000,6211375000,7701605000
593,Allianz SE,Germany,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, DACH, Euro, FTSE All-World, Global 500, MSCI ACWI",Insurance,Financial services,Services,Financial services, ALV GR," Investor, Supply Chain",ALV.DE,2021,84827939993,,5996000000,118911000000,118911000000,6610000000,EUR,20844000000,627306000000,665406000000,1139429000000,1055207000000,1292712000000,35569000000,84222000000
692,American Express,United States of America,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Banks,Financial services,Services,Financial services, AXP US," Investor, Supply Chain",AXP,2021,123845200000,64000,12384000000,42380000000,27227000000,8060000000,USD,21522000000,2512000000,3000000000,189000000000,167000000000,4477000000,41000000000,22000000000
806,Ansell,Australia,,public," ASX 100, Australia, Continuity Climate Change",Health care supplies,Medical equipment & supplies,"Biotech, health care & pharma",General, ANN AU," Investor, Supply Chain",ANN.AX,2021,3980657953,,543874160,2717225899,1075146860,330721609,AUD,319946719,0,32634032,3646620046,1562570762,32634032,686646686,2084049283
1029,de Volksbank N.V.,Netherlands,CDP Europe,public," Continuity Climate Change, Fixed Income",Banks,Financial services,Services,Financial services, 1012Z NA, Investor,1012Z.AS,2021,,,,,,,AUD,,,,,,,,
429,Air France - KLM,France,,public," Climate High Impact Sample, Continuity Climate Change, Environmental, Fixed Income, France",Passenger airlines,Air transport,Transportation services,Transport services, AF FP," Investor, Supply Chain",AF.PA,2021,11462808519,,-592000000,14315000000,3100000000,-3267000000,EUR,6658000000,147000000,560000000,30683000000,34499000000,707000000,16242000000,-3816000000
689,"American Electric Power Company, Inc.",United States of America,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Electricity networks,Energy utility networks,Infrastructure,Electric utilities, AEP US," Investor, Supply Chain",AEP,2021,45023281578,16688,6629300000,16792000000,10203900000,2488100000,USD,403400000,220400000,4419800000,87668700000,64988500000,4640200000,36658900000,22680200000
706,American Tower Corp.,United States of America,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Fixed Income, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Utility line construction,Construction,Infrastructure,General, AMT US," Investor, Supply Chain",AMT,2021,133364205000,6378,6071100000,9356900000,6674900000,2567700000,USD,1949900000,0,2539600000,69887900000,60818300000,2539600000,52008600000,9069600000
707,"Ameriprise Financial, Inc.",United States of America,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, FTSE All-World, MSCI ACWI, S&P 500",Asset managers,Financial services,Services,Financial services, AMP US, Investor,AMP,2021,34298742000,0,3066000000,13489000000,7957000000,3417000000,USD,7248000000,32050000000,32053000000,175979000000,170294000000,37994000000,5196000000,5685000000
1037,"Asia Vital Components Co., LTD",China,CDP China,public,,Electronic components,Electrical & electronic equipment,Manufacturing,General, 3017 TT, Supply Chain,3017.TW,2021,30767621586,,6499001000,47332739000,8385681000,2900627000,TWD,12914811000,756041000,-413772000,50865107000,36780181000,342269000,14718190000,14084926000
1046,Asics Corporation,Japan,,public," Benchmark, Continuity Climate Change, Japan",Apparel design & manufacturing,Textiles & fabric goods,Apparel,General, 7936 JP," Investor, Supply Chain",7936.T,2021,466752000000,,38648000000,404128000000,199878000000,9402000000,JPY,96298000000,-41000000,10260000000,345773000000,199238000000,10219000000,110473000000,146535000000
53,Abertis Infraestructuras,Spain,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change",Infrastructure upkeep & management,Land & property ownership & development,Infrastructure,General, ABE SM, Investor,ABE.MC,2021,,,,,,,JPY,,,,,,,,
154,ACCIONA S.A.,Spain,,public," Continuity Climate Change, Spain",Renewable energy construction,Construction,Infrastructure,General, ANA SM, Investor,ANA.MC,2021,9183036225,,1460934000,8104304000,6234098000,332000000,EUR,2317978000,212230000,1331111000,19602762000,14045431000,1543341000,6880523000,5557331000
432,Air Liquide,France,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, Euro, France, FTSE All-World, Global 500, MSCI ACWI",Inorganic base chemicals,Chemicals,Materials,Chemicals, AI FP," Investor, Supply Chain",AI.PA,2021,72444101908,,6332800000,23334800000,7410700000,2572200000,EUR,2246600000,900000,918500000,46783100000,24694600000,918500000,13955700000,21998800000
449,AKBANK T.A.Ş.,Turkey,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, MSCI ACWI, Turkey",Banks,Financial services,Services,Financial services, AKBNK TI, Investor,AKBNK.IS,2021,37440000000,,17451463000,39520439000,39520439000,12127191000,TRY,136769754000,0,110146526000,762798330000,109571995000,110146526000,109571995000,75959313000
1182,Austevoll Seafood ASA,Norway,,public," Continuity Climate Change, Nordic",Aquaculture,Fish & animal farming,"Food, beverage & agriculture",Agricultural commodities, AUSS NO, Investor,AUSS.OL,2021,21476112011,,6229000000,26571000000,13576000000,3437000000,NOK,5141000000,-168000000,3217000000,43781000000,18594000000,3049000000,10958000000,25187000000
1198,"Autodesk, Inc.",United States of America,,public," Benchmark, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Software,IT & software development,Services,General, ADSK US," Investor, Supply Chain",ADSK,2021,61636848000,11500,752900000,3790400000,3453300000,1208000000,USD,1772200000,85000000,0,7279800000,6314300000,85000000,2104600000,965500000
1092,PLZ Aeroscience,United States of America,,public,,Personal care & household products,Chemicals,Materials,General,, Supply Chain,unknown,2021,,,,,,,,,,,,,,,
1106,ASUSTeK Computer Inc,"Taiwan, Greater China",,public," Asia ex-JICK, Benchmark, Continuity Climate Change, Emerging Markets, Environmental, MSCI ACWI",Computer hardware,Electrical & electronic equipment,Manufacturing,General, 2357 TT," Investor, Supply Chain",2357.TW,2021,279361688088,,62847666000,535238735000,110315929000,44549798000,TWD,67812243000,6007457000,99019674000,504152814000,257716348000,105027131000,11014584000,246436466000
