Account number,Organization,Country,Region,Public,Samples,Primary activity,Primary sector,Primary industry,Primary questionnaire sector,Tickers,Authority types,Symbol_1,Year,Market_Cap,Employee_Count,ebitda,Revenue,grossProfit,netIncome,reportedCurrency,cashAndCashEquivalents,shortTermInvestments,longTermInvestments,totalAssets,totalLiabilities,totalInvestments,totalDebt,totalEquity
282,ABB,Switzerland,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, DACH, Euro, FTSE All-World, Global 500, MSCI ACWI, Nordic",Electronic equipment,Electrical & electronic equipment,Manufacturing,General, ABBN SW," Investor, Supply Chain",ABBN.SW,2021,68787900000,,6828000000,28945000000,9467000000,4546000000,USD,4159000000,1170000000,1670000000,40260000000,24303000000,2840000000,6480000000,15957000000
285,3M Company,United States of America,,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Specialty chemicals,Chemicals,Materials,Chemicals, MMM US," Investor, Supply Chain",MMM,2021,84992273000,95000,7369000000,35355000000,16560000000,5921000000,USD,4564000000,201000000,262000000,47072000000,31955000000,463000000,17626000000,15188000000
334,"Advanced Micro Devices, Inc",United States of America,,public," Benchmark, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Electronic components,Electrical & electronic equipment,Manufacturing,General, AMD US," Investor, Supply Chain",AMD,2021,200452700000,15500,3703000000,16434000000,7929000000,3162000000,USD,2535000000,1073000000,69000000,12419000000,4922000000,1142000000,661000000,7497000000
427,Air Canada,Canada,,public," Benchmark, Canada, Climate High Impact Sample, Continuity Climate Change, MSCI ACWI",Passenger airlines,Air transport,Transportation services,Transport services, AC CN," Investor, Supply Chain",AC.TO,2021,7543409643,,-1138000000,6400000000,-1620000000,-3602000000,CAD,4248000000,4554000000,653000000,30614000000,30605000000,5207000000,16523000000,9000000
246,Advantest Corporation,Japan,,public," Benchmark, Continuity Climate Change, Japan, MSCI ACWI",Industrial machinery,Powered machinery,Manufacturing,Capital goods, 6857 JP," Investor, Supply Chain",6857.T,2021,2109828680325,,131614000000,416901000000,235907000000,87301000000,JPY,116582000000,-348000000,14913000000,494696000000,200075000000,14565000000,113815000000,294621000000
261,"Aeon Mall Co., Ltd.",Japan,,public," Benchmark, Continuity Climate Change, Japan, MSCI ACWI",Real estate owners & developers,Land & property ownership & development,Infrastructure,Real estate, 8905 JP, Investor,8905.T,2021,373401249822,,105665000000,316813000000,67929000000,19278000000,JPY,87148000000,9000000000,98345000000,1463256000000,1036328000000,1991000000,763672000000,426928000000
454,Akamai Technologies Inc,United States of America,,public," Benchmark, Continuity Climate Change, MSCI ACWI, S&P 500",Software,IT & software development,Services,General, AKAM US," Investor, Supply Chain",AKAM,2021,18784217760,8700,1375239000,3461223000,2192267000,651642000,USD,536725000,541470000,1088048000,8138673000,3608659000,1629518000,2858937000,4530014000
597,Allied Electronics Corporation Ltd (Altron),South Africa,,public," Continuity Climate Change, South Africa",Technology hardware wholesale & distribution,"Trading, wholesale, distribution, rental & leasing",Retail,General, AEL SJ," Investor, Supply Chain",AEL.JO,2021,3414986735,,1185000000,7930000000,1073000000,-104000000,ZAR,757000000,0,79000000,9369000000,5015000000,79000000,2111000000,4354000000
638,Alten,France,,public," Continuity Climate Change, France",Engineering services,Specialized professional services,Services,General, ATE FP," Investor, Supply Chain",ATE.PA,2021,5376215865,,370319000,2925180000,451549000,207837000,EUR,312311000,444000,60131000,2629533000,1208477000,60131000,275213000,1421056000
641,Amer Sports,Finland,,public, Continuity Climate Change,Sporting goods,Leisure & home manufacturing,Manufacturing,General, AMEAS FH," Investor, Supply Chain",AMEAS.HE,2021,,,,,,,EUR,,,,,,,,
