Account number,Organization,Country,Region,Public,Samples,Primary activity,Primary sector,Primary industry,Primary questionnaire sector,Tickers,Authority types,Symbol_1,Year,Market_Cap,Employee_Count,ebitda,Revenue,grossProfit,netIncome,reportedCurrency,cashAndCashEquivalents,shortTermInvestments,longTermInvestments,totalAssets,totalLiabilities,totalInvestments,totalDebt,totalEquity
44,3i Group,United Kingdom of Great Britain and Northern Ireland,,public," Benchmark, Euro, FTSE 100, FTSE 350, FTSE 600, FTSE 725",Asset managers,Financial services,Services,General, III LN, Investor,III.L,2018,7518207509,,1233000000,1361000000,1361000000,1242000000,GBP,983000000,0,6728000000,8721000000,812000000,6728000000,575000000,7909000000
53,Abertis Infraestructuras,Spain,,public," Benchmark, Euro, FTSE All-World, Spain",Transportation infrastructure & other construction,Construction,Infrastructure,General, ABE SM, Investor,ABE.MC,2018,,,,,,,GBP,,,,,,,,
58,ABM INDUSTRIES INC,United States of America,CDP NA,public,,Commercial services,Commercial & consumer services,Services,General, ABM US, Supply Chain,ABM,2018,2132104000,140000,260000000,6442200000,694800000,97800000,USD,39100000,0,16300000,3627500000,2172900000,16300000,939000000,1454600000
64,Abbott Laboratories,United States of America,,public," Benchmark, CCGR1000, CCGR1800, FTSE All-World, Global 500, S&P 500",Health care supplies,Medical equipment & supplies,"Biotech, health care & pharma",General, ABT US," Investor, Supply Chain",ABT,2018,127603230680,103000,5967000000,30578000000,17872000000,2368000000,USD,3844000000,242000000,897000000,67173000000,36451000000,1139000000,19566000000,30722000000
87,A2A,Italy,,public," CCGR1800, Electric Utilities, Environmental, Italy",CCGT generation,Thermal power generation,Power generation,Electric utilities, A2A IM, Investor,A2A.MI,2018,4889191613,,1206000000,6271000000,1939000000,344000000,EUR,624000000,16000000,29000000,10333000000,6810000000,45000000,3678000000,3523000000
97,Aareal Bank AG,Germany,,public, DACH,Banks,Financial services,Services,General, ARL GR, Investor,ARL.DE,2018,1615546394,,330000000,859000000,859000000,224000000,EUR,1265000000,0,11666000000,42687000000,39759000000,11666000000,27415000000,2928000000
119,Resolute Forest Products Inc.,Canada,,public," CCGR1800, Environmental, Forest & Pulp & Paper",Pulp & paper mills,Wood & paper materials,Materials,Paper & forestry, RFP US, Investor,RFP,2018,,7400,622000000,3756000000,1207000000,235000000,USD,304000000,0,0,3935000000,2400000000,0,645000000,1535000000
135,ABN Amro Holding,Netherlands,,public," Benchmark, Benelux, Euro, FTSE All-World, Global 500",Banks,Financial services,Services,General, ABN NA, Investor,ABN.AS,2018,19307599938,,9403000000,8976000000,8976000000,2286000000,EUR,38144000000,0,51407000000,381295000000,359935000000,51407000000,90589000000,21360000000
143,ACC,India,,public," Benchmark, Emerging Markets, India",Cement,Cement & concrete,Materials,Cement, ACC IN, Investor,ACC.BO,2018,282558997116,,21687300000,144774700000,110540400000,15204700000,INR,29332100000,3232300000,1020500000,160559500000,55210200000,4252800000,0,105319000000
149,Acbel Polytech Inc,"Taiwan, Greater China",Partner - BCSD Taiwan,public,,Electronic components,Electrical & electronic equipment,Manufacturing,General, 6282 TT, Supply Chain,6282.TW,2018,9770039993,,2121185000,18732663000,2456021000,1005422000,TWD,908696000,3980536000,-3468838000,19472929000,10813014000,511698000,1332900000,8659915000
154,ACCIONA S.A.,Spain,,public, Spain,Transportation infrastructure & other construction,Construction,Infrastructure,General, ANA SM," Investor, Supply Chain",ANA.MC,2018,4017014446,,1339276000,7509530000,5383051000,328030000,EUR,1717405000,177480000,1030998000,14937593000,11442455000,1208478000,6243146000,3495138000
156,Accor,France,,public," Benchmark, CCGR1800, Euro, France, FTSE All-World",Hotels & lodging,"Bars, hotels & restaurants",Hospitality,General, AC FP," Investor, Supply Chain",AC.PA,2018,10649914182,,626000000,3282000000,672000000,-78000000,EUR,2820000000,10000000,2251000000,12975000000,6532000000,2261000000,4028000000,6443000000
